steaming_data,sentiment_score,sentiment
program iisma mahasiswi psikologi universitas diponegoro bawa cita indonesia republik ceko,0.0,Netral
hooo ept joki palsu sertifikat yaa kalo kait palsu sertifikat iismalpdp gamasuk ya crosscheck validity certif nya lamar kerja lainlain idk its sad that weve come to this,-0.5423,Negatif
btw mo cerita kmrn pas volunteer sumpeh rawan yg keren pol ak temenan sm anak aiesec sm iisma bjrittttt trs gw diceritain deh tntg aiesec krn mata gw lgdg when i found out shes an aiesec,0.0,Netral
akuadn capek ngejar iisma bilang gacha,0.0,Netral
kalo ga iisma ya s ptln kalo nya sih hehe,0.0,Netral
plattically waduhh,0.0,Netral
larrons ihh pls ikut seruu bgtt,0.0772,Positif
arkesmaaa gass inimah,0.0,Netral
awaokwkwkw apa seru bgt,0.0,Netral
bvtterflywaltz sem skem abis tukar ajar ngandelin iisma doang anjirrr jg batas nya sem,0.0,Netral
qforkyu myxaurora kripikpringlesh arkesmaaa apa kocak bgt,0.0,Netral
iismafess ttep approve iisma ya ak tau dri alumni,0.0,Netral
gua kemarin iisma gua mahasiswa bisnis ambil matkul hukum ai gua feeling ga konversi ngulang its fine yg gua yg udh gua design gua btw mahasiswa normal kah pikir,0.3182,Positif
mahasiswa hasil terima beasiswa iisma sebar guru negeri ptln negara mahasiswa rencana tukar ajar semester sesuai jadwal akademik universitas tuju,0.0,Netral
granolish unipi otw msuk guinness book of iisma record,0.0,Netral
triceratob tinggal pacar pergi sama,0.0,Netral
libur lebaran pls,0.0772,Positif
anjir pusing besok kampus,0.0,Netral
claphoria haha yakan duh,0.4588,Positif
suirvives tp moga ga prank iisma,0.0,Netral
ashaganteng iyaa ttd kui nyaa,0.0,Netral
aneh bgt lagiaaann coping mechanismnya jelek bgt ngatain awardees gacha meanwhile ga tau aja kriteria dr iisma lpdp,0.296,Positif
wow iisma gacha gw kali,0.5859,Positif
amebicano literallyyyy pas iisma angkat sm gem group line sjdhsjhsja,0.0,Netral
iisma this iisma that iis dahlia,0.0,Netral
